PPD,KOD SEKOLAH,NAMA SEKOLAH,BIL PELAJAR,ALAMAT,POSKOD,BANDAR,NEGERI,DAERAH,NO TEL,KOD A,Page,Kod Urutan,ZON HD,Nama HD,NO SAP,CO Number,MONTH (ejaan penuh melayu huruf besar),YEAR,No Kontrak,No Tender,BIL TP,BIL CK,Column1
PPD SETIU,TBA6088,SK PERMAISURI,63,JALAN BINJAI MANIS,22100,PERMAISURI,TERENGGANU,SETIU,09-6097506,SETIU,32,32,C,NOIDORA ABDULLAH,SETIU032 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6089,SK SUNGAI LEREK,131,KG. SUNGAI LEREK,21450,,TERENGGANU,SETIU,09-6576048,SETIU,33,33,c,NOIDORA ABDULLAH,SETIU033 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6090,SK LEMBAH BIDONG,88,MERANG,21010,BANDAR PERMAISURI,TERENGGANU,SETIU,09-6531387,SETIU,34,34,A,AHMAD TARMIZI MOHAMED,SETIU034 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6091,SK LEMBAH JAYA,44,BANDAR PERMAISURI,22100,PERMAISURI,TERENGGANU,SETIU,09-6092500,SETIU,35,35,D,WALI KHAN,SETIU035 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6092,SK SERI KASAR,47,KAMPUNG KASAR,21500,,TERENGGANU,SETIU,09-8242622,SETIU,36,36,D,WALI KHAN,SETIU036 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6113,SK KAMPONG JAYA,27,SG TONG,21500,PERMAISURI,TERENGGANU,SETIU,09-8240021,SETIU,37,37,D,WALI KHAN,SETIU037 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6114,SK PAYONG BARU,33,KAMPUNG PAYONG,21500,PERMAISURI,TERENGGANU,SETIU,09-8242629,SETIU,38,38,C,NOIDORA ABDULLAH,SETIU038 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6115,SK KAMPONG TAYOR,20,W/POS TAYOR TENGAH,21500,PERMAISURI,TERENGGANU,SETIU,09-8241061,SETIU,39,39,E,SITI NOOR IDAYU,SETIU039 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6116,SK BARI (SG TONG),23,SUNGAI TONG,21500,PERMAISURI,TERENGGANU,SETIU,09-8240826,SETIU,40,40,C,NOIDORA ABDULLAH,SETIU040 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6117,SK JELAPANG,113,KAMPUNG JELAPANG,21450,BANDAR PERMAISURI,TERENGGANU,SETIU,09-8241260,SETIU,41,41,F,MOHD HAFIZI TALIB,SETIU041 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6118,SK SAUJANA,234,SAUJANA,22110,PERMAISURI,TERENGGANU,SETIU,09-6021198,SETIU,42,42,E,SITI NOOR IDAYU,SETIU042 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6119,SK SERI LANGKAP,96,"LOT 5388, KG. SUNGAI TONG",21500,PERMAISURI,TERENGGANU,SETIU,09-6572352,SETIU,43,43,F,MOHD HAFIZI TALIB,SETIU043 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7001,SK DARAT BATU RAKIT,136,KG. DARAT BATU RAKIT,21020,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6694177,KUALANERUS,1,1,A,AHMAD TARMIZI MOHAMED,KUALANERUS001 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7002,SK BUKIT TUNGGAL,303,KAMPUNG BUKIT TUNGGAL,21200,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6664263,KUALANERUS,2,2,A,AHMAD TARMIZI MOHAMED,KUALANERUS002 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7003,SK SEBERANG TAKIR,185,KAMPUNG SEBERANG TAKIR,21300,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6626242,KUALANERUS,3,3,A,AHMAD TARMIZI MOHAMED,KUALANERUS003 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7004,SK MENGABANG TELIPOT,200,KG. MENGABANG TELIPOT,21030,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6696266,KUALANERUS,4,4,A,AHMAD TARMIZI MOHAMED,KUALANERUS004 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7005,SK BUKIT GUNTONG,225,KG. BUKIT GUNTONG TEPOH,21060,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6664364,KUALANERUS,5,5,A,AHMAD TARMIZI MOHAMED,KUALANERUS005 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7006,SK BATU RAKIT,266,JALAN BATU RAKIT,21020,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6696227,KUALANERUS,6,6,A,AHMAD TARMIZI MOHAMED,KUALANERUS006 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7007,SK MARAS,152,KG. MARAS,21020,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6696655,KUALANERUS,7,7,A,AHMAD TARMIZI MOHAMED,KUALANERUS007 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7008,SK PAGAR BESI,267,BATU RAKIT,21020,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6697161,KUALANERUS,8,8,A,AHMAD TARMIZI MOHAMED,KUALANERUS008 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7009,SK BUKIT CHEMPAKA,113,W/POS WAKAF MESIRA,21060,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6697851,KUALANERUS,9,9,D,WALI KHAN,KUALANERUS009 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7010,SK BUKIT WAN,123,KAMPUNG BUKIT WAN,21060,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6691126,KUALANERUS,10,10,E,SITI NOOR IDAYU,KUALANERUS010 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7011,SK BUKIT NANAS,158,TEPOH,21060,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6625164,KUALANERUS,11,11,A,AHMAD TARMIZI MOHAMED,KUALANERUS011 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7012,SK PECHAH ROTAN,32,BATU RAKIT,21020,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6693636,KUALANERUS,12,12,A,AHMAD TARMIZI MOHAMED,KUALANERUS012 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7013,SK TOK JEMBAL,171,KG. TOK JEMBAL,21300,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6621255,KUALANERUS,13,13,A,AHMAD TARMIZI MOHAMED,KUALANERUS013 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7014,SK TOK JIRING,142,KAMPUNG TOK JIRING,21060,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6664637,KUALANERUS,14,14,B,SHARIFAH MUNIRAH,KUALANERUS014 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7015,SK KAMPUNG GEMUROH,106,W/P TEPOH,21060,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6667882,KUALANERUS,15,15,A,AHMAD TARMIZI MOHAMED,KUALANERUS015 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7016,SK PULAU REDANG,89,KG. BARU PULAU REDANG,21090,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6307600,KUALANERUS,16,16,A,AHMAD TARMIZI MOHAMED,KUALANERUS016 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7017,SK LKTP BELARA,48,FELDA BELARA,21050,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6576182,KUALANERUS,17,17,E,SITI NOOR IDAYU,KUALANERUS017 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7018,SK BUKIT TOK BENG,113,JALAN TENGKU AMPUAN BARIAH,21300,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6626236,KUALANERUS,18,18,A,AHMAD TARMIZI MOHAMED,KUALANERUS018 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7019,SK KOMPLEKS MENGABANG TELIPOT,155,WAKAF TENGAH,21030,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6696466,KUALANERUS,19,19,B,SHARIFAH MUNIRAH,KUALANERUS019 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7020,SK GONG BADAK,241,GONG BADAK,21300,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6698368,KUALANERUS,20,20,A,AHMAD TARMIZI MOHAMED,KUALANERUS020 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7021,SK TELUK KETAPANG,251,SEBERANG TAKIR,21300,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6665885,KUALANERUS,21,21,C,NOIDORA ABDULLAH,KUALANERUS021 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7022,SK KOMPLEKS GONG BADAK,198,JALAN GONG BADAK,21300,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6672472,KUALANERUS,22,22,A,AHMAD TARMIZI MOHAMED,KUALANERUS022 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7023,SK BUKIT TUMBUH,185,BUKIT TUMBUH,21200,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6673455,KUALANERUS,23,23,A,AHMAD TARMIZI MOHAMED,KUALANERUS023 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7024,SK TANJUNG GELAM,133,"KAMPUNG PAK TUYU, MENGABANG TELIPOT",21030,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6699510,KUALANERUS,24,24,A,AHMAD TARMIZI MOHAMED,KUALANERUS024 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7025,SK PADANG AIR,126,BT 9  JALAN KOTA BHARU,21060,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6671058,KUALANERUS,25,25,B,SHARIFAH MUNIRAH,KUALANERUS025 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7026,SK KOMPLEKS SEBERANG TAKIR,317,"KAMPUNG BATIN, SEBERANG TAKIR",21300,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6672510,KUALANERUS,26,26,A,AHMAD TARMIZI MOHAMED,KUALANERUS026 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7027,SK INSTITUT PENDIDIKAN GURU KAMPUS DATO RAZALI ISMAIL,94,IPG KAMPUS DATO` RAZALI ISMAIL,21030,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6696470,KUALANERUS,27,27,A,AHMAD TARMIZI MOHAMED,KUALANERUS027 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7028,SK PADANG KEMUNTING,134,KG. PADANG KEMUNTING BATU RAKIT,21020,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6694548,KUALANERUS,28,28,F,MOHD HAFIZI TALIB,KUALANERUS028 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD KUALA NERUS,TBA7029,SK KOMPLEKS TEMBESU,211,KAMPUNG BUKIT LAPAN,21060,KUALA NERUS,TERENGGANU,KUALA NERUS,09-6661106,KUALANERUS,29,29,A,AHMAD TARMIZI MOHAMED,KUALANERUS029 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
,,,,,,,,,,,,,,,,,,,,,,,
,,,19479,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,MMS,7586,,,,,,,,,,,,,,,,,,,,
,,AYU,3006,,,,,,,,,,,,,,,,,,,,
,,DORA,3148,,,,,,,,,,,,,,,,,,,,
,,FIZI,2103,,,,,,,,,,,,,,,,,,,,
,,SYA,1512,,,,,,,,,,,,,,,,,,,,
,,WALI,2124,,,,,,,,,,,,,,,,,,,,
,,,19479,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Total Murid,,,,,,,,,,,,,,
,,,,,,,,,,Terima,,,,,,,,,,,,,
,,,,,,,,,,PEK,,,,,,,,,,,,,
,,,,,,,,,TP,24,,,,,,,,,,,,,
,,,,,,,,,TP,24,,,,,,,,,,,,,
,,,,,,,,,TP,25,,,,,,,,,,,,,
,,,,,,,,,TP,26,,,,,,,,,,,,,
